Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,3,1,PIRU,10,167,6687,17.7,5,23.86,4.63,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,168,6688,12.7,0,36.18,13.65,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,169,6689,17.1,0,75.44,26.09,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,170,6690,22.4,5,39.18,6.74,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,171,6691,12.1,5,7.87,1.75,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,172,6692,17.5,5,20.45,3.90,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,173,6693,14.4,5,12.31,2.55,1.00,625.00,0.00,H
2011,1,3,1,PIRU,10,174,6694,22.5,0,155.94,53.23,1.00,625.00,0.00,H
2011,1,3,1,BEAL,3,175,6695,13.1,5,16.52,2.12,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,176,6770,14.1,0,83.77,18.48,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,177,8561,10.9,0,25.00,9.83,1.00,625.00,0.00,H
2011,1,3,1,BEPA,11,178,8597,11.6,5,12.51,1.60,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,179,8575,10.3,0,21.83,8.71,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,180,8585,10.0,0,20.35,8.18,1.00,625.00,0.00,H
2011,1,3,1,ABBA,9,181,0,8.2,0,12.76,5.38,1.00,0.00,75.60,H
2011,1,3,1,ABBA,9,182,0,3.9,3,2.46,1.20,1.00,0.00,75.60,H
2011,1,3,1,PIRU,10,183,0,6.7,0,11.72,4.23,1.00,0.00,75.60,H
2011,1,3,1,PIRU,10,184,0,2.0,0,0.98,0.35,1.00,0.00,75.60,H
2011,1,4,1,ABBA,9,185,6696,23.1,0,161.48,50.78,1.00,625.00,0.00,H
2011,1,4,1,ACRU,13,186,6697,15.4,5,38.70,4.57,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,187,6698,15.0,0,66.09,23.13,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,188,6699,22.9,0,284.41,59.97,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,189,6700,20.7,0,221.71,47.25,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,190,6701,15.4,0,69.91,24.43,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,191,6702,20.2,0,114.76,37.68,1.00,625.00,0.00,H
2011,1,4,1,ACRU,13,192,6703,12.9,0,93.09,21.45,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,193,6704,16.0,4,83.65,6.14,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,194,6705,12.4,0,60.00,13.36,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,195,6706,12.5,0,61.27,13.63,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,196,6707,24.2,5,48.10,8.00,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,197,6708,27.6,0,255.22,75.61,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,198,6709,16.0,0,63.91,22.55,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,199,6710,10.7,5,10.20,1.30,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,200,6711,9.8,5,7.76,0.99,1.00,625.00,0.00,H
2011,1,4,1,ACRU,13,201,6712,35.3,0,1162.80,189.06,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,202,6713,13.1,0,39.02,14.59,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,203,6714,27.2,0,231.16,77.85,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,204,6715,17.0,5,32.07,4.17,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,205,6716,21.1,0,136.29,46.72,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,206,6717,19.5,0,104.96,34.85,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,207,6718,12.3,0,56.84,12.67,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,208,6719,13.7,0,43.55,16.08,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,209,6720,15.2,0,67.98,23.77,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,210,6721,18.5,0,103.27,35.70,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,211,6722,15.9,0,74.84,26.11,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,212,6723,14.6,5,22.15,2.86,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,213,6724,19.4,0,103.61,34.46,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,214,6725,22.0,5,58.97,7.75,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,215,6726,21.2,0,137.65,47.17,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,216,6727,18.3,0,100.92,34.91,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,217,6728,14.1,0,46.74,17.12,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,218,6729,18.7,3,94.43,31.77,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,219,6730,43.2,0,1431.55,276.42,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,220,6731,19.1,0,181.41,38.97,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,221,6732,15.3,0,57.19,20.45,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,222,6733,20.4,0,213.81,45.63,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,223,6734,13.2,5,17.27,2.22,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,224,6735,14.6,0,62.38,21.86,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,225,6736,20.2,4,147.35,10.81,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,226,6737,13.4,5,17.93,2.31,1.00,625.00,0.00,H
2011,1,4,1,ACRU,13,227,6738,29.6,0,758.33,132.39,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,228,6739,12.1,5,13.90,1.78,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,229,6740,21.0,0,229.76,48.89,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,230,6741,24.8,5,77.63,10.26,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,231,6742,15.7,0,72.85,25.43,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,232,6743,18.3,0,100.92,34.91,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,233,6744,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,234,6745,25.0,0,197.76,60.58,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,235,6746,10.8,5,10.44,1.33,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,236,6747,14.2,0,47.56,17.38,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,237,6748,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,238,6749,15.2,0,67.98,23.77,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,239,6750,20.4,0,117.66,38.52,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,240,6751,12.8,0,47.05,16.60,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,241,6752,11.4,0,36.68,13.01,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,242,6753,19.7,0,117.95,40.61,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,243,6754,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,244,6755,19.9,5,46.65,6.11,1.00,625.00,0.00,H
2011,1,4,1,FAGR,2,245,6756,27.7,3,373.49,82.61,1.00,625.00,0.00,H
